policy,user_id,event_id,rank,action,reward,university_match,category_match
Chronological baseline,user_0,event_29,0,pass,-0.1,0.0,0.0
Chronological baseline,user_0,event_9,1,pass,-0.1,0.0,0.0
Chronological baseline,user_0,event_1,2,pass,-0.1,0.0,0.0
Chronological baseline,user_0,event_22,3,request,0.7,0.0,1.0
Chronological baseline,user_0,event_18,4,request,0.7,1.0,0.0
Chronological baseline,user_1,event_50,0,join,1.0,1.0,0.0
Chronological baseline,user_1,event_31,1,pass,-0.1,0.0,0.0
Chronological baseline,user_1,event_45,2,join,1.0,0.0,1.0
Chronological baseline,user_1,event_54,3,pass,-0.1,0.0,1.0
Chronological baseline,user_1,event_57,4,pass,-0.1,0.0,1.0
Chronological baseline,user_2,event_63,0,join,1.0,1.0,0.0
Chronological baseline,user_2,event_66,1,join,1.0,0.0,0.0
Chronological baseline,user_2,event_79,2,pass,-0.1,0.0,0.0
Chronological baseline,user_2,event_65,3,join,1.0,1.0,0.0
Chronological baseline,user_2,event_85,4,pass,-0.1,0.0,0.0
Chronological baseline,user_3,event_96,0,join,1.0,1.0,0.0
Chronological baseline,user_3,event_91,1,request,0.7,0.0,0.0
Chronological baseline,user_3,event_111,2,pass,-0.1,0.0,1.0
Chronological baseline,user_3,event_113,3,pass,-0.1,0.0,0.0
Chronological baseline,user_3,event_108,4,pass,-0.1,0.0,0.0
Chronological baseline,user_4,event_121,0,pass,-0.1,0.0,0.0
Chronological baseline,user_4,event_135,1,join,1.0,0.0,0.0
Chronological baseline,user_4,event_143,2,pass,-0.1,0.0,0.0
Chronological baseline,user_4,event_146,3,pass,-0.1,0.0,0.0
Chronological baseline,user_4,event_120,4,join,1.0,0.0,0.0
Chronological baseline,user_5,event_165,0,pass,-0.1,0.0,0.0
Chronological baseline,user_5,event_171,1,request,0.7,1.0,0.0
Chronological baseline,user_5,event_164,2,join,1.0,0.0,0.0
Chronological baseline,user_5,event_160,3,join,1.0,1.0,0.0
Chronological baseline,user_5,event_174,4,pass,-0.1,0.0,0.0
Chronological baseline,user_6,event_198,0,pass,-0.1,1.0,1.0
Chronological baseline,user_6,event_202,1,request,0.7,0.0,0.0
Chronological baseline,user_6,event_196,2,request,0.7,1.0,0.0
Chronological baseline,user_6,event_182,3,join,1.0,0.0,0.0
Chronological baseline,user_6,event_188,4,pass,-0.1,1.0,0.0
Chronological baseline,user_7,event_213,0,pass,-0.1,0.0,0.0
Chronological baseline,user_7,event_234,1,join,1.0,0.0,0.0
Chronological baseline,user_7,event_222,2,pass,-0.1,0.0,0.0
Chronological baseline,user_7,event_212,3,request,0.7,1.0,0.0
Chronological baseline,user_7,event_219,4,join,1.0,0.0,0.0
Chronological baseline,user_8,event_266,0,join,1.0,0.0,1.0
Chronological baseline,user_8,event_253,1,join,1.0,0.0,0.0
Chronological baseline,user_8,event_247,2,request,0.7,1.0,0.0
Chronological baseline,user_8,event_260,3,pass,-0.1,0.0,1.0
Chronological baseline,user_8,event_268,4,pass,-0.1,0.0,0.0
Chronological baseline,user_9,event_284,0,pass,-0.1,1.0,0.0
Chronological baseline,user_9,event_299,1,pass,-0.1,0.0,0.0
Chronological baseline,user_9,event_290,2,pass,-0.1,0.0,0.0
Chronological baseline,user_9,event_291,3,pass,-0.1,0.0,0.0
Chronological baseline,user_9,event_298,4,pass,-0.1,0.0,0.0
Chronological baseline,user_10,event_319,0,join,1.0,1.0,0.0
Chronological baseline,user_10,event_313,1,join,1.0,0.0,0.0
Chronological baseline,user_10,event_311,2,pass,-0.1,0.0,0.0
Chronological baseline,user_10,event_323,3,pass,-0.1,1.0,0.0
Chronological baseline,user_10,event_325,4,pass,-0.1,0.0,0.0
Chronological baseline,user_11,event_350,0,join,1.0,0.0,0.0
Chronological baseline,user_11,event_343,1,pass,-0.1,0.0,0.0
Chronological baseline,user_11,event_345,2,pass,-0.1,0.0,0.0
Chronological baseline,user_11,event_340,3,join,1.0,1.0,1.0
Chronological baseline,user_11,event_349,4,join,1.0,0.0,0.0
Chronological baseline,user_12,event_365,0,join,1.0,0.0,0.0
Chronological baseline,user_12,event_373,1,pass,-0.1,0.0,0.0
Chronological baseline,user_12,event_386,2,join,1.0,0.0,0.0
Chronological baseline,user_12,event_389,3,join,1.0,0.0,1.0
Chronological baseline,user_12,event_366,4,join,1.0,1.0,0.0
Chronological baseline,user_13,event_418,0,pass,-0.1,0.0,0.0
Chronological baseline,user_13,event_408,1,join,1.0,0.0,0.0
Chronological baseline,user_13,event_396,2,join,1.0,0.0,0.0
Chronological baseline,user_13,event_392,3,join,1.0,0.0,0.0
Chronological baseline,user_13,event_414,4,join,1.0,1.0,0.0
Chronological baseline,user_14,event_421,0,pass,-0.1,0.0,0.0
Chronological baseline,user_14,event_437,1,request,0.7,1.0,0.0
Chronological baseline,user_14,event_448,2,pass,-0.1,0.0,0.0
Chronological baseline,user_14,event_423,3,pass,-0.1,0.0,0.0
Chronological baseline,user_14,event_425,4,pass,-0.1,0.0,0.0
Chronological baseline,user_15,event_465,0,pass,-0.1,1.0,0.0
Chronological baseline,user_15,event_467,1,pass,-0.1,0.0,0.0
Chronological baseline,user_15,event_458,2,pass,-0.1,0.0,0.0
Chronological baseline,user_15,event_464,3,pass,-0.1,0.0,0.0
Chronological baseline,user_15,event_455,4,join,1.0,0.0,0.0
Chronological baseline,user_16,event_509,0,pass,-0.1,1.0,0.0
Chronological baseline,user_16,event_500,1,join,1.0,0.0,0.0
Chronological baseline,user_16,event_484,2,pass,-0.1,0.0,0.0
Chronological baseline,user_16,event_489,3,pass,-0.1,0.0,0.0
Chronological baseline,user_16,event_493,4,pass,-0.1,1.0,0.0
Chronological baseline,user_17,event_514,0,pass,-0.1,1.0,0.0
Chronological baseline,user_17,event_530,1,pass,-0.1,0.0,0.0
Chronological baseline,user_17,event_538,2,pass,-0.1,0.0,0.0
Chronological baseline,user_17,event_519,3,pass,-0.1,0.0,0.0
Chronological baseline,user_17,event_512,4,pass,-0.1,0.0,1.0
Chronological baseline,user_18,event_544,0,join,1.0,0.0,0.0
Chronological baseline,user_18,event_553,1,join,1.0,1.0,0.0
Chronological baseline,user_18,event_556,2,join,1.0,1.0,0.0
Chronological baseline,user_18,event_569,3,pass,-0.1,1.0,0.0
Chronological baseline,user_18,event_552,4,join,1.0,0.0,0.0
Chronological baseline,user_19,event_575,0,request,0.7,0.0,0.0
Chronological baseline,user_19,event_590,1,join,1.0,1.0,0.0
Chronological baseline,user_19,event_594,2,join,1.0,0.0,1.0
Chronological baseline,user_19,event_598,3,pass,-0.1,0.0,0.0
Chronological baseline,user_19,event_593,4,pass,-0.1,0.0,0.0
Chronological baseline,user_20,event_627,0,join,1.0,0.0,0.0
Chronological baseline,user_20,event_615,1,request,0.7,0.0,0.0
Chronological baseline,user_20,event_606,2,join,1.0,0.0,0.0
Chronological baseline,user_20,event_622,3,request,0.7,0.0,0.0
Chronological baseline,user_20,event_618,4,pass,-0.1,0.0,0.0
Chronological baseline,user_21,event_636,0,pass,-0.1,1.0,0.0
Chronological baseline,user_21,event_630,1,pass,-0.1,0.0,0.0
Chronological baseline,user_21,event_659,2,pass,-0.1,0.0,0.0
Chronological baseline,user_21,event_651,3,join,1.0,0.0,0.0
Chronological baseline,user_21,event_656,4,pass,-0.1,0.0,0.0
Chronological baseline,user_22,event_686,0,pass,-0.1,0.0,0.0
Chronological baseline,user_22,event_684,1,pass,-0.1,0.0,1.0
Chronological baseline,user_22,event_672,2,pass,-0.1,0.0,0.0
Chronological baseline,user_22,event_678,3,join,1.0,0.0,0.0
Chronological baseline,user_22,event_676,4,pass,-0.1,1.0,0.0
Chronological baseline,user_23,event_708,0,request,0.7,0.0,0.0
Chronological baseline,user_23,event_715,1,join,1.0,0.0,1.0
Chronological baseline,user_23,event_700,2,join,1.0,0.0,0.0
Chronological baseline,user_23,event_699,3,pass,-0.1,0.0,0.0
Chronological baseline,user_23,event_704,4,pass,-0.1,0.0,0.0
Chronological baseline,user_24,event_744,0,pass,-0.1,0.0,0.0
Chronological baseline,user_24,event_720,1,pass,-0.1,0.0,0.0
Chronological baseline,user_24,event_737,2,request,0.7,1.0,0.0
Chronological baseline,user_24,event_732,3,pass,-0.1,0.0,0.0
Chronological baseline,user_24,event_735,4,pass,-0.1,0.0,0.0
Chronological baseline,user_25,event_777,0,request,0.7,0.0,0.0
Chronological baseline,user_25,event_755,1,pass,-0.1,0.0,0.0
Chronological baseline,user_25,event_756,2,join,1.0,0.0,0.0
Chronological baseline,user_25,event_760,3,pass,-0.1,0.0,0.0
Chronological baseline,user_25,event_778,4,pass,-0.1,0.0,0.0
Chronological baseline,user_26,event_785,0,join,1.0,1.0,1.0
Chronological baseline,user_26,event_806,1,join,1.0,1.0,0.0
Chronological baseline,user_26,event_799,2,join,1.0,0.0,0.0
Chronological baseline,user_26,event_809,3,join,1.0,1.0,0.0
Chronological baseline,user_26,event_795,4,join,1.0,0.0,0.0
Chronological baseline,user_27,event_811,0,join,1.0,0.0,0.0
Chronological baseline,user_27,event_822,1,join,1.0,0.0,0.0
Chronological baseline,user_27,event_814,2,pass,-0.1,0.0,0.0
Chronological baseline,user_27,event_819,3,pass,-0.1,0.0,0.0
Chronological baseline,user_27,event_824,4,pass,-0.1,0.0,0.0
Chronological baseline,user_28,event_863,0,pass,-0.1,0.0,1.0
Chronological baseline,user_28,event_848,1,join,1.0,0.0,0.0
Chronological baseline,user_28,event_860,2,request,0.7,0.0,0.0
Chronological baseline,user_28,event_854,3,join,1.0,1.0,0.0
Chronological baseline,user_28,event_852,4,pass,-0.1,0.0,0.0
Chronological baseline,user_29,event_873,0,request,0.7,1.0,0.0
Chronological baseline,user_29,event_893,1,pass,-0.1,0.0,1.0
Chronological baseline,user_29,event_876,2,join,1.0,0.0,0.0
Chronological baseline,user_29,event_880,3,join,1.0,0.0,0.0
Chronological baseline,user_29,event_899,4,join,1.0,0.0,1.0
Chronological baseline,user_30,event_921,0,join,1.0,0.0,1.0
Chronological baseline,user_30,event_922,1,request,0.7,0.0,0.0
Chronological baseline,user_30,event_900,2,pass,-0.1,1.0,0.0
Chronological baseline,user_30,event_925,3,pass,-0.1,1.0,0.0
Chronological baseline,user_30,event_908,4,pass,-0.1,0.0,1.0
Chronological baseline,user_31,event_936,0,request,0.7,0.0,0.0
Chronological baseline,user_31,event_939,1,join,1.0,1.0,0.0
Chronological baseline,user_31,event_931,2,join,1.0,1.0,0.0
Chronological baseline,user_31,event_952,3,pass,-0.1,0.0,0.0
Chronological baseline,user_31,event_957,4,request,0.7,0.0,0.0
Chronological baseline,user_32,event_976,0,pass,-0.1,0.0,0.0
Chronological baseline,user_32,event_985,1,request,0.7,1.0,1.0
Chronological baseline,user_32,event_965,2,join,1.0,0.0,1.0
Chronological baseline,user_32,event_989,3,join,1.0,1.0,0.0
Chronological baseline,user_32,event_979,4,join,1.0,0.0,0.0
Chronological baseline,user_33,event_1004,0,request,0.7,1.0,0.0
Chronological baseline,user_33,event_1006,1,pass,-0.1,1.0,0.0
Chronological baseline,user_33,event_1011,2,pass,-0.1,0.0,0.0
Chronological baseline,user_33,event_993,3,pass,-0.1,0.0,0.0
Chronological baseline,user_33,event_995,4,join,1.0,0.0,0.0
Chronological baseline,user_34,event_1046,0,pass,-0.1,0.0,0.0
Chronological baseline,user_34,event_1042,1,join,1.0,0.0,1.0
Chronological baseline,user_34,event_1041,2,join,1.0,0.0,0.0
Chronological baseline,user_34,event_1047,3,join,1.0,0.0,0.0
Chronological baseline,user_34,event_1033,4,join,1.0,1.0,0.0
Chronological baseline,user_35,event_1077,0,pass,-0.1,1.0,0.0
Chronological baseline,user_35,event_1071,1,join,1.0,0.0,0.0
Chronological baseline,user_35,event_1061,2,join,1.0,1.0,0.0
Chronological baseline,user_35,event_1053,3,request,0.7,0.0,0.0
Chronological baseline,user_35,event_1069,4,pass,-0.1,0.0,1.0
Chronological baseline,user_36,event_1085,0,join,1.0,0.0,0.0
Chronological baseline,user_36,event_1088,1,join,1.0,0.0,1.0
Chronological baseline,user_36,event_1106,2,join,1.0,0.0,1.0
Chronological baseline,user_36,event_1101,3,join,1.0,0.0,0.0
Chronological baseline,user_36,event_1094,4,join,1.0,1.0,1.0
Chronological baseline,user_37,event_1122,0,join,1.0,0.0,0.0
Chronological baseline,user_37,event_1113,1,join,1.0,0.0,0.0
Chronological baseline,user_37,event_1133,2,join,1.0,0.0,0.0
Chronological baseline,user_37,event_1137,3,pass,-0.1,1.0,0.0
Chronological baseline,user_37,event_1119,4,request,0.7,0.0,0.0
Chronological baseline,user_38,event_1147,0,join,1.0,1.0,0.0
Chronological baseline,user_38,event_1154,1,join,1.0,0.0,1.0
Chronological baseline,user_38,event_1158,2,join,1.0,0.0,0.0
Chronological baseline,user_38,event_1161,3,pass,-0.1,0.0,0.0
Chronological baseline,user_38,event_1166,4,pass,-0.1,0.0,0.0
Chronological baseline,user_39,event_1193,0,request,0.7,0.0,1.0
Chronological baseline,user_39,event_1179,1,request,0.7,1.0,0.0
Chronological baseline,user_39,event_1184,2,join,1.0,0.0,0.0
Chronological baseline,user_39,event_1195,3,pass,-0.1,0.0,0.0
Chronological baseline,user_39,event_1183,4,pass,-0.1,0.0,0.0
Chronological baseline,user_40,event_1220,0,pass,-0.1,0.0,0.0
Chronological baseline,user_40,event_1229,1,request,0.7,0.0,0.0
Chronological baseline,user_40,event_1215,2,join,1.0,1.0,0.0
Chronological baseline,user_40,event_1200,3,request,0.7,0.0,0.0
Chronological baseline,user_40,event_1216,4,pass,-0.1,1.0,1.0
Chronological baseline,user_41,event_1249,0,join,1.0,0.0,0.0
Chronological baseline,user_41,event_1239,1,pass,-0.1,0.0,1.0
Chronological baseline,user_41,event_1259,2,join,1.0,0.0,0.0
Chronological baseline,user_41,event_1245,3,pass,-0.1,0.0,1.0
Chronological baseline,user_41,event_1254,4,join,1.0,0.0,1.0
Chronological baseline,user_42,event_1275,0,join,1.0,1.0,0.0
Chronological baseline,user_42,event_1285,1,join,1.0,0.0,1.0
Chronological baseline,user_42,event_1265,2,request,0.7,1.0,0.0
Chronological baseline,user_42,event_1262,3,request,0.7,0.0,0.0
Chronological baseline,user_42,event_1276,4,pass,-0.1,1.0,0.0
Chronological baseline,user_43,event_1298,0,join,1.0,0.0,1.0
Chronological baseline,user_43,event_1317,1,pass,-0.1,0.0,0.0
Chronological baseline,user_43,event_1318,2,join,1.0,0.0,0.0
Chronological baseline,user_43,event_1304,3,join,1.0,0.0,0.0
Chronological baseline,user_43,event_1294,4,pass,-0.1,0.0,1.0
Chronological baseline,user_44,event_1334,0,join,1.0,1.0,0.0
Chronological baseline,user_44,event_1335,1,join,1.0,0.0,0.0
Chronological baseline,user_44,event_1321,2,pass,-0.1,1.0,0.0
Chronological baseline,user_44,event_1346,3,join,1.0,0.0,0.0
Chronological baseline,user_44,event_1339,4,pass,-0.1,0.0,0.0
Chronological baseline,user_45,event_1361,0,pass,-0.1,0.0,0.0
Chronological baseline,user_45,event_1365,1,join,1.0,0.0,0.0
Chronological baseline,user_45,event_1351,2,pass,-0.1,0.0,0.0
Chronological baseline,user_45,event_1354,3,pass,-0.1,0.0,0.0
Chronological baseline,user_45,event_1370,4,pass,-0.1,0.0,0.0
Chronological baseline,user_46,event_1407,0,join,1.0,0.0,1.0
Chronological baseline,user_46,event_1401,1,request,0.7,1.0,0.0
Chronological baseline,user_46,event_1386,2,join,1.0,0.0,0.0
Chronological baseline,user_46,event_1409,3,join,1.0,0.0,1.0
Chronological baseline,user_46,event_1389,4,pass,-0.1,0.0,0.0
Chronological baseline,user_47,event_1437,0,pass,-0.1,0.0,0.0
Chronological baseline,user_47,event_1424,1,join,1.0,1.0,1.0
Chronological baseline,user_47,event_1414,2,join,1.0,0.0,0.0
Chronological baseline,user_47,event_1411,3,pass,-0.1,0.0,0.0
Chronological baseline,user_47,event_1412,4,join,1.0,1.0,0.0
Chronological baseline,user_48,event_1462,0,request,0.7,0.0,0.0
Chronological baseline,user_48,event_1443,1,request,0.7,0.0,0.0
Chronological baseline,user_48,event_1441,2,join,1.0,1.0,0.0
Chronological baseline,user_48,event_1464,3,request,0.7,0.0,0.0
Chronological baseline,user_48,event_1453,4,join,1.0,0.0,0.0
Chronological baseline,user_49,event_1489,0,pass,-0.1,0.0,1.0
Chronological baseline,user_49,event_1488,1,pass,-0.1,0.0,0.0
Chronological baseline,user_49,event_1472,2,join,1.0,1.0,0.0
Chronological baseline,user_49,event_1476,3,join,1.0,1.0,0.0
Chronological baseline,user_49,event_1481,4,pass,-0.1,1.0,0.0
Chronological baseline,user_50,event_1506,0,pass,-0.1,1.0,0.0
Chronological baseline,user_50,event_1509,1,join,1.0,0.0,0.0
Chronological baseline,user_50,event_1528,2,join,1.0,0.0,0.0
Chronological baseline,user_50,event_1504,3,pass,-0.1,0.0,0.0
Chronological baseline,user_50,event_1519,4,request,0.7,0.0,0.0
Chronological baseline,user_51,event_1550,0,join,1.0,1.0,0.0
Chronological baseline,user_51,event_1543,1,pass,-0.1,0.0,0.0
Chronological baseline,user_51,event_1549,2,request,0.7,1.0,0.0
Chronological baseline,user_51,event_1552,3,join,1.0,1.0,0.0
Chronological baseline,user_51,event_1546,4,request,0.7,1.0,0.0
Chronological baseline,user_52,event_1572,0,pass,-0.1,0.0,0.0
Chronological baseline,user_52,event_1573,1,join,1.0,0.0,1.0
Chronological baseline,user_52,event_1581,2,pass,-0.1,1.0,0.0
Chronological baseline,user_52,event_1580,3,pass,-0.1,1.0,0.0
Chronological baseline,user_52,event_1565,4,pass,-0.1,0.0,0.0
Chronological baseline,user_53,event_1614,0,join,1.0,0.0,1.0
Chronological baseline,user_53,event_1611,1,pass,-0.1,1.0,0.0
Chronological baseline,user_53,event_1609,2,pass,-0.1,0.0,0.0
Chronological baseline,user_53,event_1605,3,pass,-0.1,0.0,0.0
Chronological baseline,user_53,event_1591,4,pass,-0.1,0.0,1.0
Chronological baseline,user_54,event_1622,0,join,1.0,0.0,0.0
Chronological baseline,user_54,event_1623,1,join,1.0,1.0,0.0
Chronological baseline,user_54,event_1631,2,join,1.0,0.0,0.0
Chronological baseline,user_54,event_1629,3,request,0.7,0.0,0.0
Chronological baseline,user_54,event_1624,4,pass,-0.1,0.0,0.0
Chronological baseline,user_55,event_1650,0,join,1.0,1.0,1.0
Chronological baseline,user_55,event_1676,1,join,1.0,0.0,0.0
Chronological baseline,user_55,event_1678,2,join,1.0,1.0,1.0
Chronological baseline,user_55,event_1651,3,pass,-0.1,0.0,0.0
Chronological baseline,user_55,event_1675,4,pass,-0.1,0.0,0.0
Chronological baseline,user_56,event_1709,0,pass,-0.1,0.0,1.0
Chronological baseline,user_56,event_1704,1,pass,-0.1,0.0,0.0
Chronological baseline,user_56,event_1707,2,pass,-0.1,0.0,0.0
Chronological baseline,user_56,event_1685,3,request,0.7,1.0,0.0
Chronological baseline,user_56,event_1686,4,join,1.0,0.0,0.0
Chronological baseline,user_57,event_1729,0,request,0.7,0.0,0.0
Chronological baseline,user_57,event_1714,1,request,0.7,0.0,0.0
Chronological baseline,user_57,event_1738,2,request,0.7,1.0,0.0
Chronological baseline,user_57,event_1727,3,pass,-0.1,1.0,0.0
Chronological baseline,user_57,event_1728,4,join,1.0,0.0,0.0
Chronological baseline,user_58,event_1760,0,pass,-0.1,0.0,0.0
Chronological baseline,user_58,event_1768,1,join,1.0,1.0,0.0
Chronological baseline,user_58,event_1754,2,pass,-0.1,1.0,0.0
Chronological baseline,user_58,event_1745,3,join,1.0,0.0,1.0
Chronological baseline,user_58,event_1769,4,pass,-0.1,0.0,0.0
Chronological baseline,user_59,event_1789,0,request,0.7,0.0,0.0
Chronological baseline,user_59,event_1780,1,pass,-0.1,0.0,0.0
Chronological baseline,user_59,event_1771,2,pass,-0.1,0.0,0.0
Chronological baseline,user_59,event_1792,3,pass,-0.1,1.0,0.0
Chronological baseline,user_59,event_1777,4,join,1.0,0.0,1.0
Chronological baseline,user_60,event_1821,0,join,1.0,0.0,0.0
Chronological baseline,user_60,event_1804,1,join,1.0,0.0,0.0
Chronological baseline,user_60,event_1811,2,join,1.0,0.0,0.0
Chronological baseline,user_60,event_1822,3,pass,-0.1,0.0,1.0
Chronological baseline,user_60,event_1819,4,pass,-0.1,0.0,0.0
Chronological baseline,user_61,event_1835,0,request,0.7,1.0,0.0
Chronological baseline,user_61,event_1839,1,pass,-0.1,0.0,0.0
Chronological baseline,user_61,event_1849,2,request,0.7,1.0,0.0
Chronological baseline,user_61,event_1850,3,request,0.7,0.0,0.0
Chronological baseline,user_61,event_1858,4,pass,-0.1,0.0,0.0
Chronological baseline,user_62,event_1867,0,join,1.0,1.0,0.0
Chronological baseline,user_62,event_1877,1,request,0.7,0.0,0.0
Chronological baseline,user_62,event_1876,2,pass,-0.1,0.0,0.0
Chronological baseline,user_62,event_1882,3,pass,-0.1,0.0,0.0
Chronological baseline,user_62,event_1887,4,join,1.0,0.0,0.0
Chronological baseline,user_63,event_1895,0,join,1.0,0.0,0.0
Chronological baseline,user_63,event_1916,1,join,1.0,0.0,0.0
Chronological baseline,user_63,event_1906,2,request,0.7,1.0,0.0
Chronological baseline,user_63,event_1914,3,pass,-0.1,1.0,0.0
Chronological baseline,user_63,event_1910,4,join,1.0,1.0,1.0
Chronological baseline,user_64,event_1943,0,join,1.0,0.0,0.0
Chronological baseline,user_64,event_1939,1,pass,-0.1,0.0,0.0
Chronological baseline,user_64,event_1946,2,join,1.0,1.0,0.0
Chronological baseline,user_64,event_1945,3,join,1.0,0.0,0.0
Chronological baseline,user_64,event_1931,4,join,1.0,1.0,1.0
Chronological baseline,user_65,event_1966,0,join,1.0,1.0,0.0
Chronological baseline,user_65,event_1950,1,request,0.7,1.0,0.0
Chronological baseline,user_65,event_1960,2,join,1.0,0.0,0.0
Chronological baseline,user_65,event_1962,3,join,1.0,0.0,0.0
Chronological baseline,user_65,event_1965,4,pass,-0.1,0.0,0.0
Chronological baseline,user_66,event_1991,0,join,1.0,0.0,0.0
Chronological baseline,user_66,event_1994,1,join,1.0,0.0,0.0
Chronological baseline,user_66,event_1997,2,join,1.0,0.0,0.0
Chronological baseline,user_66,event_1981,3,join,1.0,0.0,0.0
Chronological baseline,user_66,event_2008,4,join,1.0,0.0,0.0
Chronological baseline,user_67,event_2026,0,join,1.0,0.0,1.0
Chronological baseline,user_67,event_2012,1,join,1.0,1.0,0.0
Chronological baseline,user_67,event_2034,2,pass,-0.1,0.0,0.0
